Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
Atlanta,Job Title,2017-06,Accountant,Median Base Pay,56271.0,0.006,6,2017
Atlanta,Job Title,2017-06,Sales Representative,Median Base Pay,49172.0,0.019,6,2017
Atlanta,Job Title,2017-06,Professor,Median Base Pay,87357.0,0.004,6,2017
Atlanta,Job Title,2017-06,Registered Nurse,Median Base Pay,64480.0,0.028999999999999998,6,2017
Atlanta,Job Title,2017-06,Marketing Manager,Median Base Pay,74455.0,0.004,6,2017
Atlanta,Job Title,2017-06,Operations Manager,Median Base Pay,70060.0,0.012,6,2017
Atlanta,Job Title,2017-06,Product Manager,Median Base Pay,95494.0,0.011000000000000001,6,2017
Atlanta,Job Title,2017-06,Sales Manager,Median Base Pay,65830.0,-0.002,6,2017
Atlanta,Job Title,2017-06,Teacher,Median Base Pay,47482.0,0.013999999999999999,6,2017
Atlanta,Job Title,2017-06,Bank Teller,Median Base Pay,29920.0,0.054000000000000006,6,2017
Atlanta,Job Title,2017-06,Customer Service Manager,Median Base Pay,55781.0,0.055999999999999994,6,2017
Atlanta,Job Title,2017-06,Physical Therapist,Median Base Pay,75582.0,-0.026000000000000002,6,2017
Atlanta,Job Title,2017-06,Mechanical Engineer,Median Base Pay,71722.0,-0.003,6,2017
Atlanta,Job Title,2017-06,Recruiter,Median Base Pay,52598.0,0.075,6,2017
Atlanta,Job Title,2017-06,Design Engineer,Median Base Pay,70117.0,-0.046,6,2017
Atlanta,Job Title,2017-06,Pharmacy Technician,Median Base Pay,28986.0,0.036000000000000004,6,2017
Atlanta,Job Title,2017-06,Graphic Designer,Median Base Pay,49420.0,-0.004,6,2017
Atlanta,Job Title,2017-06,Web Developer,Median Base Pay,74737.0,-0.011000000000000001,6,2017
Atlanta,Job Title,2017-06,Business Development Manager,Median Base Pay,71442.0,-0.025,6,2017
Atlanta,Job Title,2017-06,Data Scientist,Median Base Pay,92869.0,0.021,6,2017
Atlanta,Job Title,2017-06,Buyer,Median Base Pay,58605.0,-0.016,6,2017
Atlanta,Job Title,2017-06,Data Analyst,Median Base Pay,65652.0,0.011000000000000001,6,2017
Atlanta,Job Title,2017-06,Electrical Engineer,Median Base Pay,75818.0,0.019,6,2017
Atlanta,Job Title,2017-06,Attorney,Median Base Pay,102858.0,-0.002,6,2017
