Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Chicago,Industry,2017-06,Education & Schools,Median Base Pay,50320.0,
Chicago,Industry,2017-06,Energy & Utilities,Median Base Pay,61255.0,
Chicago,Industry,2017-06,Facilities,Median Base Pay,50261.0,
Chicago,Industry,2017-06,Farming & Agriculture,Median Base Pay,54065.0,
Chicago,Industry,2017-06,Government,Median Base Pay,54925.0,
Chicago,Industry,2017-06,Health Care & Hospitals,Median Base Pay,53705.0,
Chicago,Industry,2017-06,Information Technology,Median Base Pay,54638.0,
Chicago,Industry,2017-06,Insurance,Median Base Pay,54810.0,
Chicago,Industry,2017-06,Internet & Tech,Median Base Pay,55700.0,
Chicago,Industry,2017-06,Manufacturing,Median Base Pay,56433.0,
Chicago,Industry,2017-06,Marketing & Advertising,Median Base Pay,52062.0,
Chicago,Industry,2017-06,Media & Publishing,Median Base Pay,52877.0,
Chicago,Industry,2017-06,Nonprofit,Median Base Pay,49743.0,
Chicago,Industry,2017-06,Private Security,Median Base Pay,49625.0,
Chicago,Industry,2017-06,Real Estate,Median Base Pay,52796.0,
Chicago,Industry,2017-06,Recruiting & Staffing,Median Base Pay,52068.0,
Chicago,Industry,2017-06,Restaurants & Bars,Median Base Pay,50666.0,
Chicago,Industry,2017-06,Retail,Median Base Pay,49924.0,
Chicago,Industry,2017-06,Supermarkets,Median Base Pay,51783.0,
Chicago,Industry,2017-06,Telecommunications,Median Base Pay,53771.0,
Chicago,Industry,2017-06,Transportation & Logistics,Median Base Pay,53312.0,
Chicago,Industry,2017-06,Travel & Tourism,Median Base Pay,50839.0,
Chicago,Industry,2017-06,Wholesale,Median Base Pay,53796.0,
Houston,Industry,2017-06,Accounting & Legal,Median Base Pay,54941.0,
Houston,Industry,2017-06,Aerospace & Defense,Median Base Pay,56999.0,
Houston,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,55377.0,
Houston,Industry,2017-06,Arts & Entertainment,Median Base Pay,49028.0,
Houston,Industry,2017-06,Automotive,Median Base Pay,49263.0,
Houston,Industry,2017-06,Banking & Financial Services,Median Base Pay,53670.0,
Houston,Industry,2017-06,Beauty & Fitness,Median Base Pay,47925.0,
Houston,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,57494.0,
Houston,Industry,2017-06,Business Services,Median Base Pay,51869.0,
Houston,Industry,2017-06,Computer Software & Hardware,Median Base Pay,55477.0,
Houston,Industry,2017-06,Construction,Median Base Pay,54971.0,
Houston,Industry,2017-06,Consulting,Median Base Pay,54488.0,
Houston,Industry,2017-06,Consumer Electronics,Median Base Pay,46328.0,
Houston,Industry,2017-06,Consumer Services,Median Base Pay,48126.0,
Houston,Industry,2017-06,Education & Schools,Median Base Pay,49176.0,
Houston,Industry,2017-06,Energy & Utilities,Median Base Pay,59862.0,
Houston,Industry,2017-06,Facilities,Median Base Pay,49118.0,
Houston,Industry,2017-06,Farming & Agriculture,Median Base Pay,52835.0,
Houston,Industry,2017-06,Government,Median Base Pay,53676.0,
Houston,Industry,2017-06,Health Care & Hospitals,Median Base Pay,52483.0,
Houston,Industry,2017-06,Information Technology,Median Base Pay,53395.0,
Houston,Industry,2017-06,Insurance,Median Base Pay,53563.0,
Houston,Industry,2017-06,Internet & Tech,Median Base Pay,54433.0,
Houston,Industry,2017-06,Manufacturing,Median Base Pay,55149.0,
Houston,Industry,2017-06,Marketing & Advertising,Median Base Pay,50878.0,
Houston,Industry,2017-06,Media & Publishing,Median Base Pay,51675.0,
Houston,Industry,2017-06,Nonprofit,Median Base Pay,48612.0,
Houston,Industry,2017-06,Private Security,Median Base Pay,48496.0,
Houston,Industry,2017-06,Real Estate,Median Base Pay,51595.0,
Houston,Industry,2017-06,Recruiting & Staffing,Median Base Pay,50883.0,
Houston,Industry,2017-06,Restaurants & Bars,Median Base Pay,49513.0,
Houston,Industry,2017-06,Retail,Median Base Pay,48789.0,
Houston,Industry,2017-06,Supermarkets,Median Base Pay,50605.0,
Houston,Industry,2017-06,Telecommunications,Median Base Pay,52548.0,
Houston,Industry,2017-06,Transportation & Logistics,Median Base Pay,52099.0,
Houston,Industry,2017-06,Travel & Tourism,Median Base Pay,49682.0,
Houston,Industry,2017-06,Wholesale,Median Base Pay,52573.0,
Washington DC,Industry,2017-06,Accounting & Legal,Median Base Pay,58846.0,
Washington DC,Industry,2017-06,Aerospace & Defense,Median Base Pay,61050.0,
Washington DC,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,59313.0,
Washington DC,Industry,2017-06,Arts & Entertainment,Median Base Pay,52513.0,
Washington DC,Industry,2017-06,Automotive,Median Base Pay,52764.0,
Washington DC,Industry,2017-06,Banking & Financial Services,Median Base Pay,57485.0,
Washington DC,Industry,2017-06,Beauty & Fitness,Median Base Pay,51332.0,
Washington DC,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,61580.0,
Washington DC,Industry,2017-06,Business Services,Median Base Pay,55556.0,
Washington DC,Industry,2017-06,Computer Software & Hardware,Median Base Pay,59420.0,
Washington DC,Industry,2017-06,Construction,Median Base Pay,58879.0,
Washington DC,Industry,2017-06,Consulting,Median Base Pay,58360.0,
Washington DC,Industry,2017-06,Consumer Electronics,Median Base Pay,49621.0,
